sample_index,signal_normalization,conditioning_mode,encoder_type,point_signal_mode,mask_head_mode,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
290,per_sample_zscore,concat,mlp,none,direct,1.0,15,15,305263.9375,537.6320190429688
291,per_sample_zscore,concat,mlp,none,direct,1.0,3,3,235452.46875,471.312255859375
292,per_sample_zscore,concat,mlp,none,direct,1.0,2,2,264509.0,499.8311462402344
293,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,248135.546875,485.4182434082031
294,per_sample_zscore,concat,mlp,none,direct,1.0,3,3,208783.28125,436.1793518066406
295,per_sample_zscore,concat,mlp,none,direct,1.0,8,8,214954.71875,452.8403015136719
296,per_sample_zscore,concat,mlp,none,direct,1.0,7,7,223679.75,464.80218505859375
297,per_sample_zscore,concat,mlp,none,direct,1.0,5,5,266935.75,500.169677734375
298,per_sample_zscore,concat,mlp,none,direct,1.0,7,7,290920.84375,525.012939453125
299,per_sample_zscore,concat,mlp,none,direct,1.0,5,5,222207.9375,460.0671081542969
